ENTRY            14833   20240822                             15141483300000001 
SUBENT        14833001   20240822                             15141483300100001 
BIB                 15         44                                 1483300100002 
TITLE      Differential cross sections of the 16O(n,alpha)        1483300100003 
           reaction at neutron energies from 3.8 to 15 MeV        1483300100004 
AUTHOR     (H.Y.Lee,S.A.Kuvin,L.Zavorka,S.Mosby,B.Digiovine,      1483300100005 
           G.Hale,M.Paris,D.Votaw,M.White)                        1483300100006 
REFERENCE  (J,PR/C,109,014601,2024)                               1483300100007 
           #doi:10.1103/PhysRevC.109.014601                       1483300100008 
EXP-YEAR   (2021) Hye Young Lee (2024-11-27):                     1483300100009 
           The 2021 LENZ data is reported as the final in the     1483300100010 
            2024 report. The earlier (2016-2017) data sets were   1483300100011 
            used to validate our analyses and characterize        1483300100012 
            backgrounds, therefore we do not consider as our      1483300100013 
            final cross sections.                                 1483300100014 
REL-REF    (A,,D.A.Brown+,J,NDS,148,1,2018) ENDF/B-VIII.1 library.1483300100015 
INSTITUTE  (1USALAS)                                              1483300100016 
FACILITY   (LINAC,1USALAS) The Weapons Neutron Research (WNR)     1483300100017 
           facility.                                              1483300100018 
DETECTOR   (SISD,FISCH) LENZ (Low Energy NZ) instrument, fission  1483300100019 
           counter.                                               1483300100020 
SAMPLE     Ta2O5: 400 nm thick on 125 microm Ta backing. Mylar,   1483300100021 
           C10H8O4: 1.6 microm thick. Ta2O5: 350 and 500 nm       1483300100022 
           thick on 3 microm Ta backing.                          1483300100023 
METHOD     (TOF) The 15R flight path has the neutron flight       1483300100024 
           length of 13.28 meters from WNR T4 and is angled at    1483300100025 
           15 degree to the proton-beam right direction. The      1483300100026 
           neutron flux at the flight path is continuously        1483300100027 
           monitored by measuring fission fragments in a fission  1483300100028 
           counter. The 16O(n,alpha) reaction measurements were   1483300100029 
           performed in the LANSCE run cycles in 2016, 2017, and  1483300100030 
           2021. Based on the availability of silicon strip       1483300100031 
           detectors and the optimization of solid angle          1483300100032 
           coverage, LENZ configurations were complementary to    1483300100033 
           cover a broad range of solid angles for alpha          1483300100034 
           particles. Based on the results in the 2016/2017 data, 1483300100035 
           the 2021 experimental configuration was optimized to   1483300100036 
           reduce neutron scattering background and angular       1483300100037 
           broadening with a goal of direct application for       1483300100038 
           R-matrix analyses.                                     1483300100039 
MONITOR    (92-U-238(N,F),,SIG)                                   1483300100040 
CORRECTION The relative timing corrections between the different  1483300100041 
           particles, multiple scattering corrections, and        1483300100042 
           background corrections.                                1483300100043 
EXP-YEAR   (2021)                                                 1483300100044 
STATUS     (APRVD) Approved by H.Y.Lee on August 22, 2024.        1483300100045 
HISTORY    (20240822C) BP                                         1483300100046 
ENDBIB              44          0                                 1483300100047 
NOCOMMON             0          0                                 1483300100048 
ENDSUBENT           47          0                                 1483300199999 
SUBENT        14833002   20240822                             15141483300200001 
BIB                  3         17                                 1483300200002 
REACTION   (8-O-16(N,A)6-C-13,PAR,DA)                             1483300200003 
ERR-ANALYS (ERR-S) Per energy bin.                                1483300200004 
           (ERR-SYS) Total systematic uncertainty.                1483300200005 
           (ERR-1,0.7,1.2) Neutron energy determination.          1483300200006 
           (ERR-2) Energy resolution.                             1483300200007 
           (ERR-3,1.4,4.) Solid angle/detector efficiency.        1483300200008 
           (ERR-4) Target thickness.                              1483300200009 
           (ERR-5) Stoichiometry.                                 1483300200010 
           (ERR-6) 238U deposit nonuniformity                     1483300200011 
           (ERR-7) 238U(n,f) cross section.                       1483300200012 
           (ERR-8,0.1,0.7) 1H(n,el) cross section.                1483300200013 
           (ERR-9) Geometric effects.                             1483300200014 
           (ERR-10) PSD background analysis.                      1483300200015 
           (ERR-11) Ratio method or ratio+fission counter method. 1483300200016 
STATUS     (TABLE,,H.Y.Lee+,J,PR/C,109,014601,2024)               1483300200017 
           Author's data, also shown in Fig. 12,                  1483300200018 
           page 014601-10 of J,PR/C,109,014601,2024.              1483300200019 
ENDBIB              17          0                                 1483300200020 
COMMON               9          6                                 1483300200021 
E-LVL      ANG        ERR-2      ERR-4      ERR-5      ERR-6      1483300200022 
ERR-7      ERR-9      ERR-10                                      1483300200023 
MEV        ADEG       PER-CENT   PER-CENT   PER-CENT   PER-CENT   1483300200024 
PER-CENT   PER-CENT   PER-CENT   PER-CENT                         1483300200025 
    10.5483     0.2159      24.38       2.55       1.46           1483300700050 
    10.6433     0.2185      19.48       2.33       1.17           1483300700051 
    10.7397     0.2213      15.43       2.07       0.93           1483300700052 
    10.8374     0.2240      11.82       1.78       0.71           1483300700053 
    10.9365     0.2269       8.16       1.79       0.49           1483300700054 
    11.0369     0.2297       9.86       1.72       0.59           1483300700055 
    11.1387     0.2327       6.62       1.29       0.40           1483300700056 
    11.2419     0.2356       5.00       1.37       0.30           1483300700057 
    11.3466     0.2387       4.55       1.33       0.27           1483300700058 
    11.4528     0.2481       6.04       1.39       0.36           1483300700059 
    11.5604     0.2498       8.77       1.69       0.53           1483300700060 
    11.6696     0.2506      15.23       2.00       0.91           1483300700061 
    11.7804     0.2514       9.59       1.65       0.58           1483300700062 
    11.8928     0.2547      10.58       1.86       0.64           1483300700063 
    12.0067     0.2581      11.34       1.78       0.68           1483300700064 
    12.1224     0.2616       9.88       1.71       0.59           1483300700065 
    12.2397     0.2651      11.39       1.75       0.68           1483300700066 
    12.3588     0.2687       8.02       1.54       0.48           1483300700067 
    12.4796     0.2723      12.43       1.85       0.75           1483300700068 
    12.6022     0.2761      11.82       1.78       0.71           1483300700069 
    12.7266     0.2799      17.73       2.15       1.06           1483300700070 
    12.8529     0.2838      13.73       2.04       0.82           1483300700071 
    12.9811     0.2877      14.15       2.03       0.85           1483300700072 
    13.1112     0.2918      12.22       1.82       0.73           1483300700073 
    13.2433     0.2959       5.94       1.29       0.36           1483300700074 
    13.3775     0.3001       4.10       1.15       0.25           1483300700075 
    13.5137     0.3044       6.36       1.42       0.38           1483300700076 
    13.6519     0.3087       3.56       1.02       0.21           1483300700077 
    13.7924     0.3132       9.16       1.76       0.55           1483300700078 
    13.9350     0.3177       9.42       1.63       0.57           1483300700079 
    14.0799     0.3224      10.44       1.67       0.63           1483300700080 
    14.2271     0.3271      14.02       1.96       0.84           1483300700081 
    14.3766     0.3320       9.44       1.63       0.57           1483300700082 
    14.5285     0.3370       9.71       1.69       0.58           1483300700083 
    14.6828     0.3420       5.88       1.28       0.35           1483300700084 
    14.8396     0.3471      10.25       1.66       0.61           1483300700085 
ENDDATA             56          0                                 1483300700086 
ENDSUBENT           85          0                                 1483300799999 
SUBENT        14833008   20240822                             15141483300800001 
BIB                  3         17                                 1483300800002 
REACTION   (8-O-16(N,A)6-C-13,PAR,DA)                             1483300800003 
ERR-ANALYS (ERR-S) Per energy bin.                                1483300800004 
           (ERR-SYS) Total systematic uncertainty.                1483300800005 
           (ERR-1,0.7,1.2) Neutron energy determination.          1483300800006 
           (ERR-2) Energy resolution.                             1483300800007 
           (ERR-3,1.4,4.) Solid angle/detector efficiency.        1483300800008 
           (ERR-4) Target thickness.                              1483300800009 
           (ERR-5) Stoichiometry.                                 1483300800010 
           (ERR-6) 238U deposit nonuniformity                     1483300800011 
           (ERR-7) 238U(n,f) cross section.                       1483300800012 
           (ERR-8,0.1,0.7) 1H(n,el) cross section.                1483300800013 
           (ERR-9) Geometric effects.                             1483300800014 
           (ERR-10) PSD background analysis.                      1483300800015 
           (ERR-11) Ratio method or ratio+fission counter method. 1483300800016 
STATUS     (TABLE,,H.Y.Lee+,J,PR/C,109,014601,2024)               1483300800017 
           Author's data, also shown in Fig. 14,                  1483300800018 
           page 014601-11 of J,PR/C,109,014601,2024.              1483300800019 
ENDBIB              17          0                                 1483300800020 
COMMON              12          6                                 1483300800021 
E-LVL      E-LVL      E-LVL      ANG        ERR-2      ERR-4      1483300800022 
ERR-5      ERR-6      ERR-7      ERR-9      ERR-10     ERR-11     1483300800023 
MEV        MEV        MEV        ADEG       PER-CENT   PER-CENT   1483300800024 
PER-CENT   PER-CENT   PER-CENT   PER-CENT   PER-CENT   PER-CENT   1483300800025 
      3.089      3.684      3.853       57.0       0.85        3.01483300800026 
        0.5        5.0        1.5        1.0        2.0       2.751483300800027 
ENDCOMMON            6          0                                 1483300800028 
DATA                 5         54                                 1483300800029 
EN         EN-RSL     DATA-CM    ERR-S      ERR-SYS               1483300800030 
MEV        MEV        MB/SR      MB/SR      MB/SR                 1483300800031 
     9.0346     0.1748       6.15       1.15       0.37           1483300800032 
     9.1098     0.1768       9.41       1.08       0.56           1483300800033 
     9.1860     0.1788       7.92       1.17       0.47           1483300800034 
     9.2632     0.1808       6.51       1.22       0.39           1483300800035 
     9.3413     0.1829       7.62       1.30       0.46           1483300800036 
     9.4205     0.1850       6.97       1.30       0.42           1483300800037 
     9.5006     0.1871       8.84       1.16       0.53           1483300800038 
     9.5818     0.1893       8.06       1.24       0.48           1483300800039 
     9.6640     0.1915      10.12       1.25       0.61           1483300800040 
     9.7473     0.1938       9.93       1.31       0.60           1483300800041 
     9.8317     0.1961       8.79       1.25       0.53           1483300800042 
     9.9172     0.1984       9.72       1.29       0.58           1483300800043 
    10.0038     0.2008       8.35       1.42       0.50           1483300800044 
    10.0916     0.2032       9.38       1.22       0.56           1483300800045 
    10.1805     0.2056      10.07       1.23       0.60           1483300800046 
    10.2706     0.2081      12.59       1.50       0.76           1483300800047 
    10.3619     0.2107      18.09       1.33       1.09           1483300800048 
    10.4545     0.2132      16.56       1.30       0.99           1483300800049 
    10.5483     0.2159      12.10       1.34       0.73           1483300800050 
    10.6433     0.2185       9.14       1.29       0.55           1483300800051 
    10.7397     0.2213       9.66       1.17       0.58           1483300800052 
    10.8374     0.2240       3.60       1.30       0.22           1483300800053 
    10.9365     0.2269       3.98       1.28       0.24           1483300800054 
    11.0369     0.2297       7.95       1.24       0.48           1483300800055 
    11.1387     0.2327       9.00       1.32       0.54           1483300800056 
    11.2419     0.2356      15.42       1.35       0.93           1483300800057 
    11.3466     0.2387      14.08       1.40       0.85           1483300800058 
    11.4528     0.2481      16.21       1.37       0.97           1483300800059 
    11.5604     0.2498      14.30       1.30       0.86           1483300800060 
    11.6696     0.2506      10.50       1.37       0.63           1483300800061 
    11.7804     0.2514       8.51       1.33       0.51           1483300800062 
    11.8928     0.2547       9.33       1.14       0.56           1483300800063 
    12.0067     0.2581      10.57       1.15       0.63           1483300800064 
    12.1224     0.2616       9.24       1.31       0.55           1483300800065 
    12.2397     0.2651      11.06       1.17       0.66           1483300800066 
    12.3588     0.2687      10.19       1.24       0.61           1483300800067 
    12.4796     0.2723      11.88       1.17       0.71           1483300800068 
    12.6022     0.2761       9.57       1.21       0.57           1483300800069 
    12.7266     0.2799       8.39       1.21       0.50           1483300800070 
    12.8529     0.2838       4.86       1.16       0.29           1483300800071 
    12.9811     0.2877       7.09       0.99       0.43           1483300800072 
    13.1112     0.2918       5.49       0.91       0.33           1483300800073 
    13.2433     0.2959       7.42       0.94       0.45           1483300800074 
    13.3775     0.3001       4.00       1.01       0.24           1483300800075 
    13.5137     0.3044       5.81       0.90       0.35           1483300800076 
    13.6519     0.3087       4.97       0.79       0.30           1483300800077 
    13.7924     0.3132       5.49       0.77       0.33           1483300800078 
    13.9350     0.3177       5.67       0.68       0.34           1483300800079 
    14.0799     0.3224       4.36       0.93       0.26           1483300800080 
    14.2271     0.3271       5.46       0.80       0.33           1483300800081 
    14.3766     0.3320       6.38       0.80       0.38           1483300800082 
    14.5285     0.3370       7.31       0.86       0.44           1483300800083 
    14.6828     0.3420       5.98       0.73       0.36           1483300800084 
    14.8396     0.3471       4.44       0.70       0.27           1483300800085 
ENDDATA             56          0                                 1483300800086 
ENDSUBENT           85          0                                 1483300899999 
SUBENT        14833009   20240822                             15141483300900001 
BIB                  4         12                                 1483300900002 
REACTION   (8-O-16(N,A)6-C-13,PAR,SIG)                            1483300900003 
ANALYSIS   (4PI1A) Average of the angular differential cross      1483300900004 
           sections at several angular ranges multiplied by 4pi.  1483300900005 
ERR-ANALYS (DATA-ERR) Combined statistical and systematic errors. 1483300900006 
STATUS     (DEP,14833002)                                         1483300900007 
           (DEP,14833003)                                         1483300900008 
           (DEP,14833004)                                         1483300900009 
           (DEP,14833005)                                         1483300900010 
           (DEP,14833006)                                         1483300900011 
           (TABLE,,H.Y.Lee+,J,PR/C,109,014601,2024)               1483300900012 
           Author's data, also shown in Fig. 14,                  1483300900013 
           page 014601-11 of J,PR/C,109,014601,2024.              1483300900014 
ENDBIB              12          0                                 1483300900015 
COMMON               1          3                                 1483300900016 
E-LVL                                                             1483300900017 
MEV                                                               1483300900018 
        0.0                                                       1483300900019 
ENDCOMMON            3          0                                 1483300900020 
DATA                 4         51                                 1483300900021 
EN         EN-RSL     DATA       DATA-ERR                         1483300900022 
MEV        MEV        MB         MB                               1483300900023 
      9.035      0.175       63.9       13.9                      1483300900024 
      9.110      0.177       71.1       15.3                      1483300900025 
      9.186      0.179       68.8       14.8                      1483300900026 
      9.263      0.181       64.9       14.0                      1483300900027 
      9.341      0.183       56.1       12.5                      1483300900028 
      9.420      0.185       43.4       10.1                      1483300900029 
      9.501      0.187       38.3        9.1                      1483300900030 
      9.582      0.189       30.8        7.6                      1483300900031 
      9.664      0.192       37.1        8.7                      1483300900032 
      9.747      0.194       32.4        8.2                      1483300900033 
      9.832      0.196       39.3       10.1                      1483300900034 
      9.917      0.198       48.0       11.4                      1483300900035 
     10.004      0.201       58.7       13.0                      1483300900036 
     10.092      0.203       69.9       15.3                      1483300900037 
     10.181      0.206       66.7       14.5                      1483300900038 
     10.271      0.208       59.7       13.1                      1483300900039 
     10.362      0.211       49.5       11.0                      1483300900040 
     10.455      0.213       46.9       10.2                      1483300900041 
     10.548      0.216       44.3       11.8                      1483300900042 
     10.643      0.219       33.8        8.2                      1483300900043 
     10.740      0.221       41.9        9.2                      1483300900044 
     10.837      0.224       64.8       14.9                      1483300900045 
     10.937      0.227       73.3       16.6                      1483300900046 
     11.037      0.230       62.8       14.9                      1483300900047 
     11.139      0.233       65.5       15.3                      1483300900048 
     11.242      0.236       66.2       14.8                      1483300900049 
     11.347      0.239       67.3       15.2                      1483300900050 
     11.670      0.248       75.5       16.8                      1483300900051 
     11.780      0.251       48.3       12.3                      1483300900052 
     11.893      0.255       47.4       11.7                      1483300900053 
     12.007      0.258       33.4        8.1                      1483300900054 
     12.122      0.262       46.2       22.9                      1483300900055 
     12.240      0.265       25.8        6.7                      1483300900056 
     12.359      0.269       25.7        6.7                      1483300900057 
     12.480      0.272       21.2        6.2                      1483300900058 
     12.602      0.276       29.9        7.6                      1483300900059 
     12.727      0.280       17.6        5.4                      1483300900060 
     12.853      0.284       19.3        5.9                      1483300900061 
     12.981      0.288       31.7        7.8                      1483300900062 
     13.111      0.292       26.3        8.4                      1483300900063 
     13.243      0.296       22.4        6.1                      1483300900064 
     13.378      0.300       32.9        8.9                      1483300900065 
     13.514      0.304       26.3        7.3                      1483300900066 
     13.652      0.309       32.3        8.4                      1483300900067 
     13.792      0.313       21.8        5.5                      1483300900068 
     13.935      0.318       27.9        6.5                      1483300900069 
     14.080      0.322       32.4        8.3                      1483300900070 
     14.227      0.327       27.2        6.3                      1483300900071 
     14.377      0.332       25.0        6.1                      1483300900072 
     14.683      0.342       19.7        5.0                      1483300900073 
     14.840      0.347       15.3        5.5                      1483300900074 
ENDDATA             53          0                                 1483300900075 
ENDSUBENT           74          0                                 1483300999999 
SUBENT        14833010   20240822                             15141483301000001 
BIB                  4          9                                 1483301000002 
REACTION   (8-O-16(N,A)6-C-13,PAR,SIG)                            1483301000003 
ANALYSIS   (4PI1A) Average of the angular differential cross      1483301000004 
           sections at several angular ranges multiplied by 4pi.  1483301000005 
ERR-ANALYS (DATA-ERR) Combined statistical and systematic errors. 1483301000006 
STATUS     (DEP,14833007)                                         1483301000007 
           (DEP,14833008)                                         1483301000008 
           (TABLE,,H.Y.Lee+,J,PR/C,109,014601,2024)               1483301000009 
           Author's data, also shown in Fig. 14,                  1483301000010 
           page 014601-11 of J,PR/C,109,014601,2024.              1483301000011 
ENDBIB               9          0                                 1483301000012 
COMMON               3          3                                 1483301000013 
E-LVL      E-LVL      E-LVL                                       1483301000014 
MEV        MEV        MEV                                         1483301000015 
      3.089      3.684      3.853                                 1483301000016 
ENDCOMMON            3          0                                 1483301000017 
DATA                 4         54                                 1483301000018 
EN         EN-RSL     DATA       DATA-ERR                         1483301000019 
MEV        MEV        MB         MB                               1483301000020 
      9.035      0.175      100.9       24.2                      1483301000021 
      9.110      0.177      128.2       24.2                      1483301000022 
      9.186      0.179      140.9       29.7                      1483301000023 
      9.263      0.181      109.9       26.4                      1483301000024 
      9.341      0.183       86.6       19.7                      1483301000025 
      9.420      0.185      101.1       24.2                      1483301000026 
      9.501      0.187      124.0       24.7                      1483301000027 
      9.582      0.189      102.5       22.1                      1483301000028 
      9.664      0.192      130.7       25.4                      1483301000029 
      9.747      0.194      145.2       29.0                      1483301000030 
      9.832      0.196      122.2       25.3                      1483301000031 
      9.917      0.198      154.6       31.0                      1483301000032 
     10.004      0.201      136.9       31.0                      1483301000033 
     10.092      0.203      156.5       31.1                      1483301000034 
     10.181      0.206      184.0       35.5                      1483301000035 
     10.271      0.208      217.3       41.6                      1483301000036 
     10.362      0.211      263.7       44.1                      1483301000037 
     10.455      0.213      274.8       46.6                      1483301000038 
     10.548      0.216      229.1       42.8                      1483301000039 
     10.643      0.219      179.7       37.0                      1483301000040 
     10.740      0.221      157.6       30.4                      1483301000041 
     10.837      0.224       96.8       37.9                      1483301000042 
     10.937      0.227       76.2       27.1                      1483301000043 
     11.037      0.230      111.8       24.2                      1483301000044 
     11.139      0.233       98.1       20.5                      1483301000045 
     11.242      0.236      128.2       22.3                      1483301000046 
     11.347      0.239      117.0       21.1                      1483301000047 
     11.560      0.250      144.9       25.4                      1483301000048 
     11.670      0.248      139.8       24.1                      1483301000049 
     11.670      0.251      161.6       32.1                      1483301000050 
     11.780      0.251      113.7       24.6                      1483301000051 
     11.893      0.255      125.0       24.2                      1483301000052 
     12.007      0.258      137.6       25.5                      1483301000053 
     12.122      0.262      120.1       24.8                      1483301000054 
     12.240      0.265      141.0       25.9                      1483301000055 
     12.359      0.269      114.3       22.1                      1483301000056 
     12.480      0.272      152.6       27.4                      1483301000057 
     12.602      0.276      134.3       26.3                      1483301000058 
     12.727      0.280      164.0       34.2                      1483301000059 
     12.853      0.284      116.7       32.9                      1483301000060 
     12.981      0.288      133.4       27.4                      1483301000061 
     13.111      0.292      111.2       24.9                      1483301000062 
     13.243      0.296       83.9       16.4                      1483301000063 
     13.378      0.300       50.8       14.9                      1483301000064 
     13.514      0.304       76.4       16.5                      1483301000065 
     13.652      0.309       53.6       11.7                      1483301000066 
     13.792      0.313       92.0       18.9                      1483301000067 
     13.935      0.318       94.8       18.2                      1483301000068 
     14.080      0.322       93.0       24.3                      1483301000069 
     14.227      0.327      122.4       25.7                      1483301000070 
     14.377      0.332       99.4       19.5                      1483301000071 
     14.529      0.337      106.9       20.4                      1483301000072 
     14.683      0.342       74.5       14.4                      1483301000073 
     14.840      0.347       92.2       20.1                      1483301000074 
ENDDATA             56          0                                 1483301000075 
ENDSUBENT           74          0                                 1483301099999 
SUBENT        14833011   20240822                             15141483301100001 
BIB                  5         11                                 1483301100002 
REACTION   (8-O-16(N,A)6-C-13,PAR,SIG,,,DERIV)                    1483301100003 
REL-REF    (R,11400001,R.B.Walton,J,PR,107,1065,1957)             1483301100004 
ANALYSIS   The 2021 LENZ angle-integrated cross section, the      1483301100005 
           shapes of the angular distributions have been          1483301100006 
           constrained by the high resolution (n,alpha0)          1483301100007 
           angular distributions from Walton.                     1483301100008 
ERR-ANALYS (DATA-ERR) Combined statistical and systematic errors. 1483301100009 
STATUS     (DEP,14833009)                                         1483301100010 
           (TABLE,,H.Y.Lee+,J,PR/C,109,014601,2024)               1483301100011 
           Author's data, also shown in Fig. 15,                  1483301100012 
           page 014601-11 of J,PR/C,109,014601,2024.              1483301100013 
ENDBIB              11          0                                 1483301100014 
COMMON               1          3                                 1483301100015 
E-LVL                                                             1483301100016 
MEV                                                               1483301100017 
        0.0                                                       1483301100018 
ENDCOMMON            3          0                                 1483301100019 
DATA                 4         58                                 1483301100020 
EN         EN-RSL     DATA       DATA-ERR                         1483301100021 
MEV        MEV        MB         MB                               1483301100022 
     3.7841     0.0566       18.9       13.7                      1483301100023 
     3.8044     0.0570       17.6       15.5                      1483301100024 
     3.8455     0.0578       25.6       15.1                      1483301100025 
     3.8872     0.0586       49.1       16.6                      1483301100026 
     3.9083     0.0589       24.7       14.0                      1483301100027 
     3.9296     0.0593       25.7       20.1                      1483301100028 
     3.9511     0.0598       42.4       26.2                      1483301100029 
     3.9727     0.0602       46.5       18.8                      1483301100030 
     3.9946     0.0606       67.8       30.1                      1483301100031 
     4.0166     0.0610       78.9       25.0                      1483301100032 
     4.0388     0.0614       81.3       25.6                      1483301100033 
     4.0612     0.0618       23.2       29.7                      1483301100034 
     4.0837     0.0623       25.4       17.3                      1483301100035 
     4.1065     0.0627       46.3       15.4                      1483301100036 
     4.1294     0.0631       49.6       21.4                      1483301100037 
     4.1525     0.0636      119.4       20.5                      1483301100038 
     4.1759     0.0640      140.2       21.4                      1483301100039 
     4.1994     0.0645       70.1       19.4                      1483301100040 
     4.2231     0.0649      105.4       18.6                      1483301100041 
     4.2471     0.0654       64.2       12.5                      1483301100042 
     4.2712     0.0658       92.5       11.9                      1483301100043 
     4.2955     0.0663       94.8       11.6                      1483301100044 
     4.3201     0.0668       89.3       10.0                      1483301100045 
     4.3448     0.0673       87.5        9.4                      1483301100046 
     4.3698     0.0677       74.3        8.5                      1483301100047 
     4.3950     0.0682       69.5        8.8                      1483301100048 
     4.4204     0.0687       59.5        9.9                      1483301100049 
     4.4460     0.0692       39.5       10.0                      1483301100050 
     4.4719     0.0697       40.6       10.1                      1483301100051 
     4.4980     0.0703       39.6        9.8                      1483301100052 
     4.5243     0.0708       67.0       12.6                      1483301100053 
     4.5508     0.0713       70.3       11.8                      1483301100054 
     4.5776     0.0718       67.5       12.8                      1483301100055 
     4.6046     0.0724       87.8       11.2                      1483301100056 
     4.6319     0.0729      107.6       14.9                      1483301100057 
     4.6594     0.0734       79.4       16.6                      1483301100058 
     4.6871     0.0740       75.1       13.4                      1483301100059 
     4.7151     0.0746       43.5       14.5                      1483301100060 
     4.7434     0.0751       24.8       11.1                      1483301100061 
     4.7719     0.0757       23.6        9.9                      1483301100062 
     4.8006     0.0763       26.2        9.3                      1483301100063 
     4.8296     0.0769       68.6        9.7                      1483301100064 
     4.8589     0.0775       60.7       10.3                      1483301100065 
     4.8885     0.0781       99.7       10.0                      1483301100066 
     4.9183     0.0787       86.6       10.1                      1483301100067 
     4.9484     0.0793       96.1       10.8                      1483301100068 
     4.9787     0.0799      109.8       12.4                      1483301100069 
     5.0094     0.0805      175.2       14.7                      1483301100070 
     5.0403     0.0811      190.8       14.3                      1483301100071 
     5.0716     0.0818      189.0       15.3                      1483301100072 
     5.1031     0.0824      210.1       15.7                      1483301100073 
     5.1349     0.0831      155.8       13.1                      1483301100074 
     5.1670     0.0838      107.1       13.5                      1483301100075 
     5.1994     0.0844       22.2       10.2                      1483301100076 
     5.2321     0.0851       25.2       19.1                      1483301100077 
     5.2985     0.0865       27.2        9.1                      1483301100078 
     5.3322     0.0872       32.1        9.3                      1483301100079 
     5.3662     0.0879       26.6        7.7                      1483301100080 
ENDDATA             60          0                                 1483301100081 
ENDSUBENT           80          0                                 1483301199999 
SUBENT        14833012   20240822                             15141483301200001 
BIB                  5         11                                 1483301200002 
REACTION   (8-O-16(N,A)6-C-13,PAR,SIG,,,DERIV)                    1483301200003 
REL-REF    (R,41747002,P.S.Prusachenko+,J,PR/C,105,024612,2022)   1483301200004 
ANALYSIS   The 2021 LENZ angle-integrated cross section, the      1483301200005 
           shapes of the angular distributions have been          1483301200006 
           constrained by the high resolution (n,alpha0)          1483301200007 
           angular distributions from Prusachenko.                1483301200008 
ERR-ANALYS (DATA-ERR) Combined statistical and systematic errors. 1483301200009 
STATUS     (DEP,14833009)                                         1483301200010 
           (TABLE,,H.Y.Lee+,J,PR/C,109,014601,2024)               1483301200011 
           Author's data, also shown in Fig. 15,                  1483301200012 
           page 014601-11 of J,PR/C,109,014601,2024.              1483301200013 
ENDBIB              11          0                                 1483301200014 
COMMON               1          3                                 1483301200015 
E-LVL                                                             1483301200016 
MEV                                                               1483301200017 
        0.0                                                       1483301200018 
ENDCOMMON            3          0                                 1483301200019 
DATA                 4         31                                 1483301200020 
EN         EN-RSL     DATA       DATA-ERR                         1483301200021 
MEV        MEV        MB         MB                               1483301200022 
     4.9183     0.0787       85.2        9.9                      1483301200023 
     4.9484     0.0793       93.3       10.5                      1483301200024 
     4.9787     0.0799      107.3       12.1                      1483301200025 
     5.0094     0.0805      168.7       14.2                      1483301200026 
     5.0403     0.0811      195.6       14.7                      1483301200027 
     5.0716     0.0818      183.1       14.8                      1483301200028 
     6.2046     0.1061       53.3        9.6                      1483301200029 
     6.2473     0.1070       54.3       11.4                      1483301200030 
     6.2904     0.1080       40.8        7.3                      1483301200031 
     6.3340     0.1090       65.9        7.8                      1483301200032 
     6.3780     0.1100      115.6        9.2                      1483301200033 
     6.4226     0.1110      164.3       10.2                      1483301200034 
     6.4675     0.1120      181.0       10.1                      1483301200035 
     6.5130     0.1130      188.7       10.5                      1483301200036 
     6.5589     0.1141      215.1       11.8                      1483301200037 
     6.6053     0.1151      218.3       11.6                      1483301200038 
     6.6523     0.1162      180.4       11.0                      1483301200039 
     6.6997     0.1173      165.3       11.5                      1483301200040 
     6.7476     0.1184      151.7       11.6                      1483301200041 
     6.7961     0.1195      137.9       11.8                      1483301200042 
     6.8450     0.1207      129.6       10.1                      1483301200043 
     6.8945     0.1218      101.0        9.5                      1483301200044 
     6.9446     0.1230       89.1        8.1                      1483301200045 
     6.9952     0.1242       82.9        8.5                      1483301200046 
     7.0463     0.1254      164.9       15.5                      1483301200047 
     7.0981     0.1266      199.2       20.8                      1483301200048 
     7.1503     0.1278      259.9       24.5                      1483301200049 
     7.2032     0.1291      271.5       24.8                      1483301200050 
     7.2567     0.1303      184.4       23.9                      1483301200051 
     7.3107     0.1316      152.1       18.8                      1483301200052 
     7.3654     0.1329       99.3       16.5                      1483301200053 
ENDDATA             33          0                                 1483301200054 
ENDSUBENT           53          0                                 1483301299999 
SUBENT        14833013   20240822                             15141483301300001 
BIB                  5         11                                 1483301300002 
REACTION   (8-O-16(N,A)6-C-13,PAR,SIG,,,DERIV)                    1483301300003 
REL-REF    (R,C2875001,R.deBoer+,J,PR/C,106,055808,2022)          1483301300004 
ANALYSIS   The 2021 LENZ angle-integrated cross section, the      1483301300005 
           shapes of the angular distributions have been          1483301300006 
           constrained by the high resolution (n,alpha0)          1483301300007 
           angular distributions from deBoer.                     1483301300008 
ERR-ANALYS (DATA-ERR) Combined statistical and systematic errors. 1483301300009 
STATUS     (DEP,14833009)                                         1483301300010 
           (TABLE,,H.Y.Lee+,J,PR/C,109,014601,2024)               1483301300011 
           Author's data, also shown in Fig. 15,                  1483301300012 
           page 014601-11 of J,PR/C,109,014601,2024.              1483301300013 
ENDBIB              11          0                                 1483301300014 
COMMON               1          3                                 1483301300015 
E-LVL                                                             1483301300016 
MEV                                                               1483301300017 
        0.0                                                       1483301300018 
ENDCOMMON            3          0                                 1483301300019 
DATA                 4         91                                 1483301300020 
EN         EN-RSL     DATA       DATA-ERR                         1483301300021 
MEV        MEV        MB         MB                               1483301300022 
     3.7841     0.0566       21.3       15.4                      1483301300023 
     3.8044     0.0570       20.4       17.6                      1483301300024 
     3.8455     0.0578       29.8       17.4                      1483301300025 
     3.8872     0.0586       55.5       18.8                      1483301300026 
     3.9083     0.0589       27.2       15.5                      1483301300027 
