ENTRY            11460   19820813                             00001146000000001 
SUBENT        11460001   19820813                             00001146000100001 
BIB                  5          6                                 1146000100002 
INSTITUTE  (1USAANL)                                              1146000100003 
REFERENCE  (W,HIBDON,6908) TABULATED DATA.                        1146000100004 
AUTHOR     (C.T.HIBDON)                                           1146000100005 
STATUS     (SCSRS)                                                1146000100006 
HISTORY    (760715T) TRANSLATED FROM SCISRS                       1146000100007 
           (820813A) CONVERTED TO REACTION FORMALISM              1146000100008 
ENDBIB               6          0                                 1146000100009 
NOCOMMON             0          0                                 1146000100010 
ENDSUBENT            9          0                                 1146000199999 
SUBENT        11460002   19820813                             00001146000200001 
BIB                  2          2                                 1146000200002 
REACTION   (12-MG-0(N,TOT),,SIG)                                  1146000200003 
METHOD     FLAT DETECTION, ZERO DEGREES.                          1146000200004 
ENDBIB               2          0                                 1146000200005 
NOCOMMON             0          0                                 1146000200006 
DATA                 3        421                                 1146000200007 
EN         DATA       DATA-ERR                                    1146000200008 
MEV        B          B                                           1146000200009 
 4.440  -01 4.76   +00 9.     -02                                 1146000600227 
 4.450  -01 4.89   +00 8.     -02                                 1146000600228 
 4.460  -01 4.93   +00 8.     -02                                 1146000600229 
 4.470  -01 4.74   +00 8.     -02                                 1146000600230 
 4.480  -01 4.67   +00 8.     -02                                 1146000600231 
 4.490  -01 4.79   +00 8.     -02                                 1146000600232 
 4.500  -01 4.67   +00 8.     -02                                 1146000600233 
 4.510  -01 4.72   +00 8.     -02                                 1146000600234 
 4.520  -01 4.39   +00 8.     -02                                 1146000600235 
 4.530  -01 4.71   +00 8.     -02                                 1146000600236 
 4.540  -01 4.70   +00 8.     -02                                 1146000600237 
 4.550  -01 4.56   +00 7.     -02                                 1146000600238 
 4.560  -01 4.50   +00 7.     -02                                 1146000600239 
 4.570  -01 4.57   +00 7.     -02                                 1146000600240 
 4.580  -01 4.41   +00 7.     -02                                 1146000600241 
 4.590  -01 4.21   +00 7.     -02                                 1146000600242 
 4.600  -01 4.45   +00 7.     -02                                 1146000600243 
 4.610  -01 4.26   +00 7.     -02                                 1146000600244 
 4.620  -01 4.27   +00 7.     -02                                 1146000600245 
 4.630  -01 4.27   +00 6.     -02                                 1146000600246 
 4.640  -01 4.25   +00 6.     -02                                 1146000600247 
 4.650  -01 4.02   +00 6.     -02                                 1146000600248 
 4.660  -01 4.03   +00 6.     -02                                 1146000600249 
 4.750  -01 3.77   +00 6.     -02                                 1146000600250 
 4.760  -01 4.00   +00 6.     -02                                 1146000600251 
 4.770  -01 4.21   +00 5.     -02                                 1146000600252 
 4.780  -01 4.12   +00 5.     -02                                 1146000600253 
 4.780  -01 5.21   +00 6.     -02                                 1146000600254 
 4.790  -01 4.61   +00 5.     -02                                 1146000600255 
 4.800  -01 4.00   +00 5.     -02                                 1146000600256 
 4.810  -01 3.62   +00 5.     -02                                 1146000600257 
 4.860  -01 2.97   +00 5.     -02                                 1146000600258 
 4.870  -01 2.62   +00 5.     -02                                 1146000600259 
 4.880  -01 2.44   +00 5.     -02                                 1146000600260 
 4.890  -01 3.32   +00 5.     -02                                 1146000600261 
 4.900  -01 4.37   +00 5.     -02                                 1146000600262 
 4.910  -01 4.55   +00 5.     -02                                 1146000600263 
 4.920  -01 4.65   +00 5.     -02                                 1146000600264 
 4.930  -01 4.53   +00 5.     -02                                 1146000600265 
 4.940  -01 4.74   +00 4.     -02                                 1146000600266 
 4.960  -01 4.28   +00 4.     -02                                 1146000600267 
 4.980  -01 3.90   +00 4.     -02                                 1146000600268 
 5.000  -01 3.70   +00 4.     -02                                 1146000600269 
 5.020  -01 3.44   +00 5.     -02                                 1146000600270 
 5.040  -01 3.34   +00 5.     -02                                 1146000600271 
 5.060  -01 3.34   +00 5.     -02                                 1146000600272 
 5.080  -01 3.27   +00 5.     -02                                 1146000600273 
 5.100  -01 3.21   +00 5.     -02                                 1146000600274 
 5.220  -01 3.72   +00 5.     -02                                 1146000600275 
 5.240  -01 4.70   +00 5.     -02                                 1146000600276 
 5.260  -01 5.60   +00 5.     -02                                 1146000600277 
 5.280  -01 6.06   +00 5.     -02                                 1146000600278 
 5.300  -01 5.99   +00 5.     -02                                 1146000600279 
 5.320  -01 5.41   +00 5.     -02                                 1146000600280 
 5.340  -01 4.71   +00 5.     -02                                 1146000600281 
 5.360  -01 4.34   +00 5.     -02                                 1146000600282 
 5.640  -01 4.47   +00 5.     -02                                 1146000600283 
 5.660  -01 4.68   +00 5.     -02                                 1146000600284 
 5.680  -01 5.10   +00 5.     -02                                 1146000600285 
 5.700  -01 5.13   +00 5.     -02                                 1146000600286 
 5.720  -01 5.10   +00 5.     -02                                 1146000600287 
 5.740  -01 4.86   +00 5.     -02                                 1146000600288 
 5.760  -01 4.59   +00 5.     -02                                 1146000600289 
 5.800  -01 3.60   +00 5.     -02                                 1146000600290 
 5.840  -01 2.79   +00 5.     -02                                 1146000600291 
 5.850  -01 3.14   +00 5.     -02                                 1146000600292 
 5.860  -01 3.88   +00 5.     -02                                 1146000600293 
 5.870  -01 4.37   +00 5.     -02                                 1146000600294 
 5.880  -01 4.84   +00 5.     -02                                 1146000600295 
 5.890  -01 4.66   +00 5.     -02                                 1146000600296 
 5.900  -01 4.45   +00 5.     -02                                 1146000600297 
 5.910  -01 4.09   +00 5.     -02                                 1146000600298 
 5.920  -01 4.00   +00 5.     -02                                 1146000600299 
 5.930  -01 3.68   +00 5.     -02                                 1146000600300 
 5.940  -01 3.32   +00 5.     -02                                 1146000600301 
 5.950  -01 3.17   +00 5.     -02                                 1146000600302 
 5.960  -01 2.96   +00 5.     -02                                 1146000600303 
 5.970  -01 3.16   +00 5.     -02                                 1146000600304 
 5.980  -01 4.24   +00 5.     -02                                 1146000600305 
 5.990  -01 4.75   +00 5.     -02                                 1146000600306 
 6.000  -01 3.89   +00 5.     -02                                 1146000600307 
 6.010  -01 3.28   +00 5.     -02                                 1146000600308 
 6.020  -01 3.05   +00 5.     -02                                 1146000600309 
ENDDATA            302          0                                 1146000600310 
ENDSUBENT          309          0                                 1146000699999 
SUBENT        11460007   19820813                             00001146000700001 
BIB                  2          2                                 1146000700002 
REACTION   (13-AL-27(N,TOT),,SIG)                                 1146000700003 
COMMENT    FLAT DETECTION. 0DEG.                                  1146000700004 
ENDBIB               2          0                                 1146000700005 
NOCOMMON             0          0                                 1146000700006 
DATA                 3        472                                 1146000700007 
EN         DATA       DATA-ERR                                    1146000700008 
MEV        B          B                                           1146000700009 
 1.300  -01 1.40   +00                                            1146000700010 
 1.310  -01 1.55   +00                                            1146000700011 
 1.320  -01 1.85   +00                                            1146000700012 
 1.330  -01 2.20   +00                                            1146000700013 
 1.340  -01 2.75   +00                                            1146000700014 
 1.355  -01 3.06   +00 5.     -02                                 1146000700015 
 1.363  -01 3.44   +00 5.     -02                                 1146000700016 
 1.370  -01 3.90   +00 7.     -02                                 1146000700017 
 1.380  -01 4.57   +00 7.     -02                                 1146000700018 
 1.390  -01 5.40   +00 1.0    -01                                 1146000700019 
 1.400  -01 6.03   +00 1.0    -01                                 1146000700020 
 1.410  -01 7.17   +00 1.2    -01                                 1146000700021 
 1.420  -01 8.80   +00 1.5    -01                                 1146000700022 
 1.430  -01 9.57   +00 1.5    -01                                 1146000700023 
 1.440  -01 9.45   +00 1.5    -01                                 1146000700024 
 1.450  -01 1.037  +01 1.5    -01                                 1146000700025 
 1.460  -01 1.097  +01 1.5    -01                                 1146000700026 
 1.470  -01 1.122  +01 1.5    -01                                 1146000700027 
 1.480  -01 1.087  +01 1.5    -01                                 1146000700028 
 1.490  -01 1.040  +01 1.5    -01                                 1146000700029 
 1.500  -01 1.035  +01 1.5    -01                                 1146000700030 
 1.510  -01 1.077  +01 1.5    -01                                 1146000700031 
 1.520  -01 9.70   +00 1.5    -01                                 1146000700032 
 1.530  -01 9.90   +00 1.5    -01                                 1146000700033 
 1.540  -01 9.20   +00 1.5    -01                                 1146000700034 
 1.550  -01 9.46   +00 1.5    -01                                 1146000700035 
 1.560  -01 9.72   +00 1.5    -01                                 1146000700036 
 1.570  -01 1.079  +01 1.0    -01                                 1146000700037 
 1.580  -01 1.289  +01 2.0    -01                                 1146000700038 
 1.585  -01 1.470  +01 2.0    -01                                 1146000700039 
 1.590  -01 1.489  +01 2.0    -01                                 1146000700040 
 1.595  -01 1.420  +01 2.0    -01                                 1146000700041 
 1.600  -01 1.397  +01 2.0    -01                                 1146000700042 
 1.605  -01 1.210  +01 1.5    -01                                 1146000700043 
 1.610  -01 1.171  +01 1.5    -01                                 1146000700044 
 1.620  -01 9.35   +00 1.5    -01                                 1146000700045 
 1.630  -01 8.35   +00 1.5    -01                                 1146000700046 
 1.640  -01 7.67   +00 1.0    -01                                 1146000700047 
 1.650  -01 7.10   +00 1.0    -01                                 1146000700048 
 1.660  -01 6.77   +00 1.0    -01                                 1146000700049 
 1.670  -01 6.95   +00 1.0    -01                                 1146000700050 
 1.680  -01 6.03   +00 1.0    -01                                 1146000700051 
 1.690  -01 5.75   +00 1.0    -01                                 1146000700052 
 1.700  -01 5.45   +00 1.0    -01                                 1146000700053 
 1.710  -01 5.37   +00 7.     -02                                 1146000700054 
 1.720  -01 5.30   +00 7.     -02                                 1146000700055 
 1.730  -01 5.05   +00 7.     -02                                 1146000700056 
 1.740  -01 4.92   +00 7.     -02                                 1146000700057 
 1.750  -01 4.70   +00 7.     -02                                 1146000700058 
 1.760  -01 4.76   +00 7.     -02                                 1146000700059 
 1.770  -01 4.50   +00 7.     -02                                 1146000700060 
 1.780  -01 4.49   +00 7.     -02                                 1146000700061 
 1.790  -01 4.26   +00 7.     -02                                 1146000700062 
 1.807  -01 4.20   +00 7.     -02                                 1146000700063 
 1.810  -01 4.05   +00 7.     -02                                 1146000700064 
 1.820  -01 4.03   +00 7.     -02                                 1146000700065 
 1.830  -01 3.90   +00 7.     -02                                 1146000700066 
 1.840  -01 3.65   +00 7.     -02                                 1146000700067 
 1.850  -01 3.56   +00 7.     -02                                 1146000700068 
 1.860  -01 3.55   +00 7.     -02                                 1146000700069 
 1.870  -01 3.37   +00 7.     -02                                 1146000700070 
 1.880  -01 3.52   +00 7.     -02                                 1146000700071 
 1.890  -01 3.36   +00 7.     -02                                 1146000700072 
 1.900  -01 3.32   +00 7.     -02                                 1146000700073 
 1.910  -01 3.20   +00 7.     -02                                 1146000700074 
 1.920  -01 3.35   +00 7.     -02                                 1146000700075 
 1.930  -01 3.35   +00 7.     -02                                 1146000700076 
 1.940  -01 3.42   +00 7.     -02                                 1146000700077 
 1.950  -01 3.46   +00 7.     -02                                 1146000700078 
 1.960  -01 3.65   +00 7.     -02                                 1146000700079 
 1.970  -01 3.97   +00 7.     -02                                 1146000700080 
 1.980  -01 4.24   +00 7.     -02                                 1146000700081 
 1.990  -01 4.32   +00 7.     -02                                 1146000700082 
 2.000  -01 5.18   +00 7.     -02                                 1146000700083 
 2.010  -01 5.50   +00 7.     -02                                 1146000700084 
 2.020  -01 6.30   +00 7.     -02                                 1146000700085 
 2.030  -01 6.90   +00 9.     -02                                 1146000700086 
 2.040  -01 7.25   +00 1.0    -01                                 1146000700087 
 2.050  -01 7.45   +00 1.0    -01                                 1146000700088 
 2.060  -01 7.55   +00 1.0    -01                                 1146000700089 
 2.070  -01 7.46   +00 1.0    -01                                 1146000700090 
 2.080  -01 7.28   +00 1.0    -01                                 1146000700091 
 2.085  -01 7.13   +00 1.0    -01                                 1146000700092 
 2.090  -01 7.45   +00 1.0    -01                                 1146000700093 
 2.095  -01 6.85   +00 1.0    -01                                 1146000700094 
 2.100  -01 6.75   +00 1.0    -01                                 1146000700095 
 2.105  -01 6.55   +00 1.0    -01                                 1146000700096 
 2.110  -01 6.92   +00 1.0    -01                                 1146000700097 
 2.115  -01 6.44   +00 1.0    -01                                 1146000700098 
 2.120  -01 6.40   +00 1.0    -01                                 1146000700099 
 2.130  -01 6.19   +00 1.0    -01                                 1146000700100 
 2.140  -01 5.78   +00 1.0    -01                                 1146000700101 
 2.150  -01 5.66   +00 1.0    -01                                 1146000700102 
 2.160  -01 5.23   +00 1.0    -01                                 1146000700103 
 2.165  -01 5.15   +00 1.0    -01                                 1146000700104 
 2.170  -01 5.47   +00 1.0    -01                                 1146000700105 
 2.175  -01 5.25   +00 1.0    -01                                 1146000700106 
 2.180  -01 5.11   +00 1.0    -01                                 1146000700107 
 2.190  -01 4.96   +00 1.0    -01                                 1146000700108 
 2.200  -01 4.57   +00 7.     -02                                 1146000700109 
 2.210  -01 4.70   +00 7.     -02                                 1146000700110 
 2.220  -01 5.28   +00 8.     -02                                 1146000700111 
 2.225  -01 5.44   +00 8.     -02                                 1146000700112 
 2.230  -01 5.77   +00 1.0    -01                                 1146000700113 
 2.235  -01 5.10   +00 1.0    -01                                 1146000700114 
 2.240  -01 4.79   +00 8.     -02                                 1146000700115 
 2.245  -01 4.65   +00 8.     -02                                 1146000700116 
 2.250  -01 4.60   +00 8.     -02                                 1146000700117 
 2.260  -01 4.30   +00 8.     -02                                 1146000700118 
 2.270  -01 3.99   +00 8.     -02                                 1146000700119 
 2.280  -01 3.80   +00 8.     -02                                 1146000700120 
 2.290  -01 3.65   +00 8.     -02                                 1146000700121 
 2.300  -01 3.65   +00 8.     -02                                 1146000700122 
 2.310  -01 3.71   +00 6.     -02                                 1146000700123 
 2.320  -01 3.75   +00 6.     -02                                 1146000700124 
 2.330  -01 3.74   +00 6.     -02                                 1146000700125 
 2.340  -01 3.50   +00 6.     -02                                 1146000700126 
 2.350  -01 3.52   +00 6.     -02                                 1146000700127 
 2.360  -01 3.53   +00 6.     -02                                 1146000700128 
 2.370  -01 3.28   +00 6.     -02                                 1146000700129 
 2.380  -01 3.40   +00 6.     -02                                 1146000700130 
 2.390  -01 3.00   +00 6.     -02                                 1146000700131 
 2.400  -01 3.27   +00 6.     -02                                 1146000700132 
 2.410  -01 3.06   +00 6.     -02                                 1146000700133 
 2.420  -01 2.96   +00 6.     -02                                 1146000700134 
 2.430  -01 3.01   +00 5.     -02                                 1146000700135 
 2.440  -01 2.92   +00 5.     -02                                 1146000700136 
 2.450  -01 2.84   +00 5.     -02                                 1146000700137 
 2.460  -01 2.82   +00 5.     -02                                 1146000700138 
 2.470  -01 2.74   +00 5.     -02                                 1146000700139 
 2.480  -01 2.60   +00 5.     -02                                 1146000700140 
 2.490  -01 2.58   +00 5.     -02                                 1146000700141 
 2.500  -01 2.51   +00 5.     -02                                 1146000700142 
 2.510  -01 2.36   +00 5.     -02                                 1146000700143 
 2.520  -01 2.34   +00 5.     -02                                 1146000700144 
 2.530  -01 2.27   +00 5.     -02                                 1146000700145 
 2.540  -01 2.23   +00 5.     -02                                 1146000700146 
 2.550  -01 2.24   +00 5.     -02                                 1146000700147 
 2.560  -01 2.90   +00 5.     -02                                 1146000700148 
 2.570  -01 3.75   +00 7.     -02                                 1146000700149 
 2.580  -01 3.39   +00 7.     -02                                 1146000700150 
 2.590  -01 2.71   +00 5.     -02                                 1146000700151 
 2.600  -01 2.44   +00 5.     -02                                 1146000700152 
 2.610  -01 2.24   +00 5.     -02                                 1146000700153 
 2.620  -01 1.90   +00 5.     -02                                 1146000700154 
 2.630  -01 1.83   +00 5.     -02                                 1146000700155 
 2.640  -01 1.50   +00 5.     -02                                 1146000700156 
 2.650  -01 1.52   +00 5.     -02                                 1146000700157 
 2.660  -01 1.45   +00 5.     -02                                 1146000700158 
 2.670  -01 1.41   +00 3.     -02                                 1146000700159 
 2.680  -01 1.63   +00 3.     -02                                 1146000700160 
 2.690  -01 1.47   +00 3.     -02                                 1146000700161 
 2.700  -01 1.36   +00 3.     -02                                 1146000700162 
 2.710  -01 1.37   +00 3.     -02                                 1146000700163 
 2.720  -01 1.44   +00 3.     -02                                 1146000700164 
 2.730  -01 1.59   +00 3.     -02                                 1146000700165 
 2.740  -01 1.70   +00 3.     -02                                 1146000700166 
 2.750  -01 2.01   +00 3.     -02                                 1146000700167 
 2.760  -01 2.58   +00 5.     -02                                 1146000700168 
 2.770  -01 3.05   +00 8.     -02                                 1146000700169 
 2.780  -01 3.80   +00 8.     -02                                 1146000700170 
 2.790  -01 4.35   +00 9.     -02                                 1146000700171 
 2.800  -01 5.05   +00 1.0    -01                                 1146000700172 
 2.810  -01 5.54   +00 1.1    -01                                 1146000700173 
 2.820  -01 6.18   +00 1.1    -01                                 1146000700174 
 2.830  -01 6.38   +00 1.1    -01                                 1146000700175 
 2.840  -01 6.37   +00 1.1    -01                                 1146000700176 
 2.850  -01 6.07   +00 1.1    -01                                 1146000700177 
 2.860  -01 6.32   +00 1.1    -01                                 1146000700178 
 2.870  -01 6.37   +00 1.1    -01                                 1146000700179 
 2.880  -01 5.63   +00 1.2    -01                                 1146000700180 
 2.890  -01 5.93   +00 1.2    -01                                 1146000700181 
 2.900  -01 5.71   +00 1.2    -01                                 1146000700182 
 2.910  -01 5.60   +00 1.2    -01                                 1146000700183 
 2.920  -01 5.38   +00 1.2    -01                                 1146000700184 
 2.930  -01 5.35   +00 1.2    -01                                 1146000700185 
 2.940  -01 5.30   +00 1.2    -01                                 1146000700186 
 2.950  -01 5.17   +00 1.2    -01                                 1146000700187 
 2.960  -01 4.90   +00 1.2    -01                                 1146000700188 
 2.970  -01 4.88   +00 1.2    -01                                 1146000700189 
 2.980  -01 4.69   +00 1.2    -01                                 1146000700190 
 2.990  -01 4.49   +00 1.2    -01                                 1146000700191 
 3.000  -01 4.67   +00 1.2    -01                                 1146000700192 
 3.010  -01 4.41   +00 1.2    -01                                 1146000700193 
 3.020  -01 4.47   +00 1.2    -01                                 1146000700194 
 3.030  -01 4.55   +00 1.2    -01                                 1146000700195 
 3.040  -01 4.52   +00 1.2    -01                                 1146000700196 
 3.050  -01 4.12   +00 1.2    -01                                 1146000700197 
 3.060  -01 4.48   +00 1.2    -01                                 1146000700198 
 3.070  -01 4.40   +00 1.2    -01                                 1146000700199 
 3.080  -01 4.00   +00 1.1    -01                                 1146000700200 
 3.090  -01 4.33   +00 1.1    -01                                 1146000700201 
 3.100  -01 4.39   +00 1.1    -01                                 1146000700202 
 3.110  -01 4.74   +00 1.1    -01                                 1146000700203 
 3.120  -01 4.85   +00 1.2    -01                                 1146000700204 
 3.130  -01 5.06   +00 1.2    -01                                 1146000700205 
 3.140  -01 5.48   +00 1.2    -01                                 1146000700206 
 3.150  -01 5.57   +00 1.2    -01                                 1146000700207 
 3.160  -01 5.50   +00 1.1    -01                                 1146000700208 
 3.170  -01 5.00   +00 1.1    -01                                 1146000700209 
 3.180  -01 4.78   +00 1.1    -01                                 1146000700210 
 3.190  -01 4.55   +00 1.1    -01                                 1146000700211 
 3.200  -01 4.33   +00 1.1    -01                                 1146000700212 
 3.210  -01 3.66   +00 1.0    -01                                 1146000700213 
 3.230  -01 3.65   +00 1.0    -01                                 1146000700214 
 3.240  -01 3.45   +00 1.0    -01                                 1146000700215 
 3.250  -01 3.49   +00 1.0    -01                                 1146000700216 
 3.260  -01 3.38   +00 9.     -02                                 1146000700217 
 3.270  -01 3.21   +00 8.     -02                                 1146000700218 
 3.280  -01 3.35   +00 6.     -02                                 1146000700219 
 3.290  -01 3.17   +00 6.     -02                                 1146000700220 
 3.300  -01 3.26   +00 6.     -02                                 1146000700221 
 3.310  -01 3.11   +00 6.     -02                                 1146000700222 
 3.320  -01 3.13   +00 6.     -02                                 1146000700223 
 3.330  -01 3.05   +00 6.     -02                                 1146000700224 
 3.340  -01 3.07   +00 6.     -02                                 1146000700225 
 3.350  -01 2.99   +00 6.     -02                                 1146000700226 
 3.360  -01 3.05   +00 6.     -02                                 1146000700227 
 3.370  -01 2.85   +00 6.     -02                                 1146000700228 
 3.380  -01 2.88   +00 6.     -02                                 1146000700229 
 3.390  -01 2.84   +00 6.     -02                                 1146000700230 
 3.400  -01 2.91   +00 6.     -02                                 1146000700231 
 3.410  -01 2.82   +00 6.     -02                                 1146000700232 
 3.420  -01 2.70   +00 6.     -02                                 1146000700233 
 3.430  -01 2.70   +00 6.     -02                                 1146000700234 
 3.440  -01 2.75   +00 6.     -02                                 1146000700235 
 3.450  -01 2.92   +00 6.     -02                                 1146000700236 
 3.460  -01 2.68   +00 6.     -02                                 1146000700237 
 3.470  -01 2.62   +00 6.     -02                                 1146000700238 
 3.480  -01 2.49   +00 6.     -02                                 1146000700239 
 3.490  -01 2.47   +00 6.     -02                                 1146000700240 
 3.500  -01 2.51   +00 6.     -02                                 1146000700241 
 3.510  -01 2.48   +00 5.     -02                                 1146000700242 
 3.510  -01 2.50   +00 6.     -02                                 1146000700243 
 3.520  -01 2.35   +00 5.     -02                                 1146000700244 
 3.520  -01 2.40   +00 6.     -02                                 1146000700245 
 3.530  -01 2.44   +00 6.     -02                                 1146000700246 
 3.540  -01 2.33   +00 5.     -02                                 1146000700247 
 3.540  -01 2.40   +00 6.     -02                                 1146000700248 
 3.550  -01 2.43   +00 6.     -02                                 1146000700249 
 3.560  -01 2.33   +00 5.     -02                                 1146000700250 
 3.560  -01 2.48   +00 6.     -02                                 1146000700251 
 3.570  -01 2.47   +00 5.     -02                                 1146000700252 
 3.580  -01 2.46   +00 6.     -02                                 1146000700253 
 3.580  -01 2.47   +00 5.     -02                                 1146000700254 
 3.590  -01 2.56   +00 5.     -02                                 1146000700255 
 3.600  -01 2.75   +00 6.     -02                                 1146000700256 
 3.600  -01 2.81   +00 6.     -02                                 1146000700257 
 3.610  -01 2.85   +00 7.     -02                                 1146000700258 
 3.610  -01 2.78   +00 6.     -02                                 1146000700259 
 3.620  -01 3.22   +00 7.     -02                                 1146000700260 
 3.630  -01 3.65   +00 1.0    -01                                 1146000700261 
 3.640  -01 4.57   +00 1.0    -01                                 1146000700262 
 3.650  -01 5.92   +00 1.2    -01                                 1146000700263 
 3.660  -01 7.57   +00 1.5    -01                                 1146000700264 
 3.670  -01 8.95   +00 2.0    -01                                 1146000700265 
 3.680  -01 8.85   +00 2.0    -01                                 1146000700266 
 3.690  -01 8.02   +00 2.0    -01                                 1146000700267 
 3.695  -01 6.48   +00 1.7    -01                                 1146000700268 
 3.700  -01 6.40   +00 1.7    -01                                 1146000700269 
 3.705  -01 5.90   +00 1.7    -01                                 1146000700270 
 3.710  -01 6.04   +00 1.7    -01                                 1146000700271 
 3.715  -01 5.04   +00 1.0    -01                                 1146000700272 
 3.717  -01 4.65   +00 1.0    -01                                 1146000700273 
 3.720  -01 4.85   +00 1.0    -01                                 1146000700274 
 3.725  -01 4.61   +00 1.0    -01                                 1146000700275 
 3.727  -01 4.57   +00 1.0    -01                                 1146000700276 
 3.730  -01 4.51   +00 1.0    -01                                 1146000700277 
 3.735  -01 4.55   +00 1.0    -01                                 1146000700278 
 3.737  -01 4.72   +00 1.0    -01                                 1146000700279 
 3.740  -01 4.60   +00 1.0    -01                                 1146000700280 
 3.745  -01 4.81   +00 1.0    -01                                 1146000700281 
 3.747  -01 5.10   +00 1.0    -01                                 1146000700282 
 3.750  -01 5.10   +00 1.0    -01                                 1146000700283 
 3.755  -01 5.47   +00 1.0    -01                                 1146000700284 
 3.757  -01 4.92   +00 1.0    -01                                 1146000700285 
 3.760  -01 5.04   +00 1.0    -01                                 1146000700286 
 3.765  -01 4.78   +00 7.     -02                                 1146000700287 
 3.770  -01 3.92   +00 5.     -02                                 1146000700288 
 3.780  -01 3.03   +00 5.     -02                                 1146000700289 
 3.790  -01 2.67   +00 5.     -02                                 1146000700290 
 3.800  -01 2.17   +00 5.     -02                                 1146000700291 
 3.810  -01 1.84   +00 5.     -02                                 1146000700292 
 3.820  -01 1.54   +00 5.     -02                                 1146000700293 
 3.830  -01 1.10   +00 5.     -02                                 1146000700294 
 3.840  -01 9.7    -01 5.     -02                                 1146000700295 
 3.850  -01 1.62   +00 5.     -02                                 1146000700296 
 3.855  -01 2.18   +00 5.     -02                                 1146000700297 
 3.860  -01 3.12   +00 7.     -02                                 1146000700298 
 3.865  -01 3.68   +00 7.     -02                                 1146000700299 
 3.870  -01 3.87   +00 7.     -02                                 1146000700300 
 3.875  -01 3.95   +00 7.     -02                                 1146000700301 
 3.880  -01 3.94   +00 7.     -02                                 1146000700302 
 3.885  -01 3.75   +00 7.     -02                                 1146000700303 
 3.890  -01 3.68   +00 7.     -02                                 1146000700304 
 3.900  -01 3.50   +00 7.     -02                                 1146000700305 
 3.910  -01 3.30   +00 7.     -02                                 1146000700306 
 3.920  -01 3.17   +00 7.     -02                                 1146000700307 
 3.930  -01 3.07   +00 7.     -02                                 1146000700308 
 3.940  -01 2.97   +00 7.     -02                                 1146000700309 
 3.950  -01 2.92   +00 7.     -02                                 1146000700310 
 3.960  -01 2.85   +00 7.     -02                                 1146000700311 
 3.970  -01 2.88   +00 7.     -02                                 1146000700312 
 3.980  -01 2.74   +00 7.     -02                                 1146000700313 
 3.990  -01 2.80   +00 7.     -02                                 1146000700314 
 4.000  -01 2.92   +00 7.     -02                                 1146000700315 
 4.010  -01 2.95   +00 7.     -02                                 1146000700316 
 4.020  -01 2.95   +00 7.     -02                                 1146000700317 
 4.030  -01 3.07   +00 7.     -02                                 1146000700318 
 4.040  -01 3.10   +00 7.     -02                                 1146000700319 
 4.050  -01 3.13   +00 7.     -02                                 1146000700320 
 4.060  -01 3.38   +00 7.     -02                                 1146000700321 
 4.070  -01 3.65   +00 7.     -02                                 1146000700322 
 4.080  -01 3.70   +00 7.     -02                                 1146000700323 
 4.090  -01 3.85   +00 7.     -02                                 1146000700324 
 4.100  -01 4.05   +00 7.     -02                                 1146000700325 
 4.110  -01 4.27   +00 7.     -02                                 1146000700326 
 4.120  -01 4.57   +00 7.     -02                                 1146000700327 
 4.130  -01 4.88   +00 7.     -02                                 1146000700328 
 4.140  -01 4.99   +00 8.     -02                                 1146000700329 
 4.150  -01 5.10   +00 8.     -02                                 1146000700330 
 4.160  -01 5.40   +00 8.     -02                                 1146000700331 
 4.170  -01 5.32   +00 8.     -02                                 1146000700332 
 4.180  -01 5.20   +00 8.     -02                                 1146000700333 
 4.190  -01 5.34   +00 8.     -02                                 1146000700334 
 4.195  -01 5.80   +00 7.     -02                                 1146000700335 
 4.200  -01 6.50   +00 7.     -02                                 1146000700336 
 4.205  -01 5.98   +00 7.     -02                                 1146000700337 
 4.210  -01 5.55   +00 7.     -02                                 1146000700338 
 4.220  -01 5.45   +00 7.     -02                                 1146000700339 
 4.230  -01 5.27   +00 7.     -02                                 1146000700340 
 4.240  -01 4.98   +00 7.     -02                                 1146000700341 
 4.250  -01 5.06   +00 7.     -02                                 1146000700342 
 4.260  -01 5.14   +00 7.     -02                                 1146000700343 
 4.270  -01 5.15   +00 7.     -02                                 1146000700344 
 4.280  -01 4.96   +00 7.     -02                                 1146000700345 
 4.290  -01 4.75   +00 7.     -02                                 1146000700346 
 4.300  -01 5.09   +00 7.     -02                                 1146000700347 
 4.310  -01 4.91   +00 7.     -02                                 1146000700348 
 4.320  -01 5.07   +00 7.     -02                                 1146000700349 
 4.330  -01 4.84   +00 6.     -02                                 1146000700350 
 4.340  -01 4.74   +00 6.     -02                                 1146000700351 
 4.350  -01 4.68   +00 6.     -02                                 1146000700352 
 4.360  -01 4.89   +00 6.     -02                                 1146000700353 
 4.370  -01 5.04   +00 6.     -02                                 1146000700354 
 4.380  -01 4.92   +00 6.     -02                                 1146000700355 
 4.390  -01 4.82   +00 6.     -02                                 1146000700356 
 4.400  -01 4.97   +00 6.     -02                                 1146000700357 
 4.410  -01 4.98   +00 6.     -02                                 1146000700358 
 4.420  -01 4.77   +00 6.     -02                                 1146000700359 
 4.430  -01 4.88   +00 6.     -02                                 1146000700360 
 4.440  -01 4.86   +00 6.     -02                                 1146000700361 
 4.450  -01 5.00   +00 5.     -02                                 1146000700362 
 4.460  -01 4.68   +00 5.     -02                                 1146000700363 
